,patient,patients
572,0,0
573,0,1
574,0,0
575,0,0
576,0,4
577,0,0
578,0,4
579,0,0
580,0,2
581,0,2
582,0,0
583,0,0
584,1,1
585,0,9
586,0,0
587,0,0
588,0,0
589,0,1
590,0,0
591,0,5
592,0,1
593,0,5
594,0,2
595,0,0
596,0,0
597,3,2
598,0,10
599,0,0
600,0,0
601,0,0
602,0,0
603,0,0
604,0,0
605,0,0
606,0,0
607,0,0
608,1,0
609,0,0
610,0,0
611,0,4
612,1,1
613,0,0
614,0,0
615,0,0
616,0,0
617,1,2
618,1,1
619,0,0
620,0,0
621,1,1
622,0,0
623,0,0
624,0,0
625,0,0
626,0,0
627,0,0
628,0,0
629,0,0
630,0,0
631,0,0
632,0,1
633,0,0
634,0,0
635,0,0
636,0,0
637,0,0
638,0,0
639,0,0
640,0,0
641,0,0
642,0,0
643,1,0
644,0,0
645,0,0
646,0,0
647,0,0
648,0,0
649,0,1
650,0,0
651,0,0
652,0,0
653,0,0
654,0,0
655,0,0
656,0,0
657,0,0
658,0,0
659,0,0
660,0,0
661,0,14
662,0,0
663,0,0
664,0,0
665,0,0
666,0,0
667,0,0
668,0,0
669,0,0
670,0,0
671,0,0
672,0,0
673,0,0
674,0,0
675,0,0
676,0,0
677,0,0
678,0,0
679,0,0
680,0,0
681,0,1
682,0,0
683,0,0
684,1,10
685,0,0
686,0,0
687,7,9
688,0,0
689,0,0
690,0,2
691,0,0
692,0,0
693,0,0
694,0,0
695,0,0
696,0,0
697,0,0
698,0,0
699,0,0
700,0,0
701,0,0
702,0,0
703,0,0
704,0,0
705,1,3
706,1,10
707,0,0
708,0,0
709,0,0
710,0,0
711,0,0
712,0,0
713,0,0
714,0,0
715,0,0
716,0,0
717,0,0
718,0,0
